OrderID,InvoiceNo,OrderDate,Year,Month,MonthName,WeekOfYear,Weekday,CustomerID,CustomerName,Region,Country,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Cost,ShippingCost,Profit,OrderPriority,Channel,ProfitMarginPct,GrossMargin
ORD10046,INV20046,2025-04-28,2025,4,Apr,18,Monday,C1151,Customer 336,Central,India,P509,Prescription Model 16,Pharmaceuticals,Prescription,1,4815.11,0.0,4815.11,3855.91,72.64,886.56,High,Distributor,0.1841,959.2
ORD10047,INV20047,2023-08-07,2023,8,Aug,32,Monday,C1051,Customer 286,West,India,P630,Storage Model 30,Furniture,Storage,2,1288.7,0.05,2448.53,1842.24,74.31,531.98,High,Online,0.2173,606.29
ORD10048,INV20048,2023-10-01,2023,10,Oct,39,Sunday,C1913,Customer 259,West,Oman,P727,Writing Model 47,Office Supplies,Writing,5,2127.02,0.15,9039.84,6639.7,42.04,2358.1,High,Retail,0.2609,2400.14
ORD10049,INV20049,2023-11-22,2023,11,Nov,47,Wednesday,C1283,Customer 393,West,UAE,P960,Paper Model 41,Office Supplies,Paper,1,624.56,0.2,499.65,352.13,13.67,133.85,Medium,Online,0.2679,147.52
ORD10050,INV20050,2025-06-19,2025,6,Jun,25,Thursday,C1327,Customer 277,North,Bhutan,P378,Paper Model 22,Office Supplies,Paper,3,2483.5,0.0,7450.5,5156.06,25.59,2268.85,Low,Online,0.3045,2294.44
ORD10051,INV20051,2023-11-09,2023,11,Nov,45,Thursday,C1477,Customer 213,South,India,P438,Prescription Model 35,Pharmaceuticals,Prescription,4,1904.33,0.0,7617.32,5619.74,55.28,1942.3,Low,Online,0.255,1997.58
ORD10052,INV20052,2023-02-10,2023,2,Feb,6,Friday,C1771,Customer 200,Central,India,P460,OTC Model 20,Pharmaceuticals,OTC,3,3229.98,0.15,8236.45,5406.53,62.72,2767.2,Medium,Retail,0.336,2829.92
ORD10053,INV20053,2024-03-27,2024,3,Mar,13,Wednesday,C1398,Customer 173,West,India,P597,Writing Model 2,Office Supplies,Writing,5,4710.25,0.15,20018.56,15681.15,96.51,4240.9,Medium,Retail,0.2118,4337.41
ORD10054,INV20054,2023-09-19,2023,9,Sep,38,Tuesday,C1027,Customer 43,Central,India,P677,Supplement Model 43,Pharmaceuticals,Supplement,2,548.85,0.15,933.04,609.74,18.5,304.8,Low,Online,0.3267,323.3
ORD10055,INV20055,2023-04-13,2023,4,Apr,15,Thursday,C1345,Customer 390,East,Bangladesh,P565,Paper Model 21,Office Supplies,Paper,1,1628.93,0.15,1384.59,1308.78,12.09,63.72,Low,Distributor,0.046,75.81
ORD10056,INV20056,2025-05-13,2025,5,May,20,Tuesday,C1053,Customer 180,East,India,P867,OTC Model 35,Pharmaceuticals,OTC,2,3498.85,0.05,6647.81,5169.08,88.97,1389.76,Medium,Retail,0.2091,1478.73
ORD10057,INV20057,2023-03-24,2023,3,Mar,12,Friday,C1244,Customer 65,North,India,P736,Chairs Model 10,Furniture,Chairs,3,3765.54,0.15,9602.13,8947.49,99.15,555.49,Medium,Retail,0.0579,654.64
ORD10058,INV20058,2024-03-22,2024,3,Mar,12,Friday,C1621,Customer 383,West,Oman,P271,Writing Model 39,Office Supplies,Writing,3,4657.25,0.0,13971.75,11282.52,48.61,2640.62,High,Online,0.189,2689.23
ORD10059,INV20059,2024-09-29,2024,9,Sep,39,Sunday,C1929,Customer 193,North,Bhutan,P689,Laptops Model 44,Electronics,Laptops,4,4140.96,0.15,14079.26,10700.49,90.6,3288.17,High,Online,0.2335,3378.77
ORD10060,INV20060,2024-05-12,2024,5,May,19,Sunday,C1815,Customer 290,North,Bhutan,P714,Binders Model 8,Office Supplies,Binders,1,4531.64,0.0,4531.64,2616.51,38.74,1876.39,Low,Online,0.4141,1915.13
ORD10061,INV20061,2025-01-28,2025,1,Jan,5,Tuesday,C1842,Customer 251,North,Bhutan,P969,Paper Model 27,Office Supplies,Paper,5,1676.89,0.0,8384.45,6303.06,77.71,2003.68,Medium,Online,0.239,2081.39
ORD10062,INV20062,2025-07-30,2025,7,Jul,31,Wednesday,C1276,Customer 316,South,Sri Lanka,P634,Storage Model 42,Furniture,Storage,3,334.92,0.2,803.81,718.26,49.74,35.81,High,Online,0.0446,85.55
ORD10063,INV20063,2024-07-03,2024,7,Jul,27,Wednesday,C1768,Customer 238,East,India,P561,Laptops Model 16,Electronics,Laptops,2,757.81,0.2,1212.5,1179.84,65.64,-32.98,Medium,Online,-0.0272,32.66
ORD10064,INV20064,2023-02-28,2023,2,Feb,9,Tuesday,C1816,Customer 133,West,UAE,P317,Tables Model 23,Furniture,Tables,1,3519.8,0.1,3167.82,2012.72,83.97,1071.13,Low,Retail,0.3381,1155.1
ORD10065,INV20065,2024-07-19,2024,7,Jul,29,Friday,C1416,Customer 251,Central,India,P347,Chairs Model 47,Furniture,Chairs,2,4933.87,0.2,7894.19,6535.22,43.36,1315.61,High,Retail,0.1667,1358.97
ORD10066,INV20066,2025-10-02,2025,10,Oct,40,Thursday,C1708,Customer 125,West,India,P326,Laptops Model 26,Electronics,Laptops,5,3896.88,0.1,17535.96,13980.47,48.18,3507.31,Medium,Online,0.2,3555.49
ORD10067,INV20067,2024-12-05,2024,12,Dec,49,Thursday,C1277,Customer 157,West,Oman,P819,Writing Model 30,Office Supplies,Writing,2,106.2,0.1,191.16,146.68,15.07,29.41,Low,Retail,0.1539,44.48
ORD10068,INV20068,2024-10-08,2024,10,Oct,41,Tuesday,C1495,Customer 142,North,Bhutan,P321,Chairs Model 48,Furniture,Chairs,1,3263.59,0.2,2610.87,2525.41,62.5,22.96,Critical,Retail,0.0088,85.46
ORD10069,INV20069,2024-08-02,2024,8,Aug,31,Friday,C1309,Customer 8,North,India,P469,Paper Model 12,Office Supplies,Paper,4,4817.95,0.2,15417.44,10669.76,97.29,4650.39,Low,Online,0.3016,4747.68
ORD10070,INV20070,2023-04-22,2023,4,Apr,16,Saturday,C1502,Customer 53,Central,India,P989,Storage Model 49,Furniture,Storage,1,4461.16,0.0,4461.16,3159.89,99.37,1201.9,Medium,Online,0.2694,1301.27
ORD10071,INV20071,2025-06-21,2025,6,Jun,25,Saturday,C1116,Customer 34,East,India,P982,Laptops Model 31,Electronics,Laptops,1,4848.05,0.15,4120.84,3427.23,66.65,626.96,Medium,Retail,0.1521,693.61
ORD10072,INV20072,2023-04-20,2023,4,Apr,16,Thursday,C1571,Customer 392,South,India,P354,Paper Model 8,Office Supplies,Paper,5,1440.77,0.15,6123.27,6016.1,90.12,17.05,Medium,Retail,0.0028,107.17
ORD10073,INV20073,2024-04-07,2024,4,Apr,14,Sunday,C1439,Customer 157,Central,India,P404,Prescription Model 38,Pharmaceuticals,Prescription,3,2345.31,0.2,5628.74,4615.61,62.53,950.6,Medium,Retail,0.1689,1013.13
ORD10074,INV20074,2023-07-23,2023,7,Jul,29,Sunday,C1160,Customer 123,South,Maldives,P776,Tables Model 6,Furniture,Tables,4,1582.16,0.05,6012.21,5025.82,71.63,914.76,Medium,Online,0.1522,986.39
ORD10075,INV20075,2025-04-16,2025,4,Apr,16,Wednesday,C1295,Customer 362,West,Oman,P133,Prescription Model 15,Pharmaceuticals,Prescription,6,4667.01,0.1,25201.85,22676.6,14.07,2511.18,Medium,Online,0.0996,2525.25
ORD10076,INV20076,2024-04-23,2024,4,Apr,17,Tuesday,C1230,Customer 332,East,Myanmar,P217,Tables Model 35,Furniture,Tables,1,1913.49,0.05,1817.82,1517.72,98.85,201.25,High,Retail,0.1107,300.1
ORD10077,INV20077,2023-05-27,2023,5,May,21,Saturday,C1943,Customer 148,North,India,P866,Binders Model 37,Office Supplies,Binders,2,4851.08,0.15,8246.84,7787.3,85.45,374.09,Low,Retail,0.0454,459.54
ORD10078,INV20078,2025-04-04,2025,4,Apr,14,Friday,C1040,Customer 222,East,Myanmar,P182,Prescription Model 39,Pharmaceuticals,Prescription,3,4330.38,0.1,11692.03,10313.28,99.97,1278.78,Medium,Online,0.1094,1378.75
ORD10079,INV20079,2024-04-13,2024,4,Apr,15,Saturday,C1774,Customer 90,Central,India,P141,Binders Model 49,Office Supplies,Binders,6,689.34,0.15,3515.63,3458.62,64.56,-7.55,Medium,Online,-0.0021,57.01
ORD10080,INV20080,2024-07-23,2024,7,Jul,30,Tuesday,C1992,Customer 47,South,Maldives,P933,Supplement Model 32,Pharmaceuticals,Supplement,3,612.11,0.15,1560.88,1379.95,56.83,124.1,Low,Online,0.0795,180.93
ORD10081,INV20081,2023-08-03,2023,8,Aug,31,Thursday,C1678,Customer 206,South,Sri Lanka,P607,Supplement Model 19,Pharmaceuticals,Supplement,6,713.38,0.2,3424.22,2391.11,77.96,955.15,Low,Online,0.2789,1033.11
ORD10082,INV20082,2024-05-31,2024,5,May,22,Friday,C1673,Customer 278,East,India,P944,Supplement Model 1,Pharmaceuticals,Supplement,3,122.0,0.15,311.1,239.79,63.09,8.22,Medium,Online,0.0264,71.31
ORD10083,INV20083,2025-01-10,2025,1,Jan,2,Friday,C1562,Customer 68,Central,India,P308,OTC Model 18,Pharmaceuticals,OTC,4,3929.08,0.1,14144.69,10513.63,65.99,3565.07,Medium,Retail,0.252,3631.06
ORD10084,INV20084,2023-09-06,2023,9,Sep,36,Wednesday,C1564,Customer 8,North,Bhutan,P262,Storage Model 20,Furniture,Storage,5,2322.72,0.2,9290.88,9801.99,54.34,-565.45,Medium,Online,-0.0609,-511.11
ORD10085,INV20085,2023-08-21,2023,8,Aug,34,Monday,C1521,Customer 362,West,India,P833,Tables Model 19,Furniture,Tables,3,687.95,0.1,1857.47,1214.4,23.67,619.4,Medium,Online,0.3335,643.07
ORD10086,INV20086,2025-08-25,2025,8,Aug,35,Monday,C1520,Customer 383,South,Sri Lanka,P295,Tables Model 39,Furniture,Tables,2,1761.05,0.05,3345.99,2884.73,52.66,408.6,High,Online,0.1221,461.26
ORD10087,INV20087,2025-04-29,2025,4,Apr,18,Tuesday,C1305,Customer 301,East,Myanmar,P389,Paper Model 47,Office Supplies,Paper,2,252.3,0.2,403.68,303.1,35.07,65.51,Critical,Online,0.1623,100.58
ORD10088,INV20088,2023-11-01,2023,11,Nov,44,Wednesday,C1781,Customer 279,West,Oman,P440,Prescription Model 36,Pharmaceuticals,Prescription,1,647.15,0.15,550.08,445.39,28.57,76.12,Medium,Online,0.1384,104.69
ORD10089,INV20089,2024-01-22,2024,1,Jan,4,Monday,C1420,Customer 23,South,Maldives,P976,OTC Model 50,Pharmaceuticals,OTC,3,4007.08,0.1,10819.12,8876.12,17.36,1925.64,Medium,Retail,0.178,1943.0
ORD10090,INV20090,2025-02-19,2025,2,Feb,8,Wednesday,C1514,Customer 303,West,Oman,P137,Tables Model 9,Furniture,Tables,2,1420.54,0.1,2556.97,2249.74,77.34,229.89,High,Distributor,0.0899,307.23
ORD10091,INV20091,2025-06-20,2025,6,Jun,25,Friday,C1419,Customer 336,North,Bhutan,P839,OTC Model 10,Pharmaceuticals,OTC,1,1883.84,0.05,1789.65,1309.94,65.64,414.07,Low,Retail,0.2314,479.71
ORD10092,INV20092,2024-06-26,2024,6,Jun,26,Wednesday,C1872,Customer 346,East,Myanmar,P182,Supplement Model 22,Pharmaceuticals,Supplement,3,1299.56,0.2,3118.94,2978.61,90.57,49.76,Low,Online,0.016,140.33
ORD10093,INV20093,2025-09-26,2025,9,Sep,39,Friday,C1943,Customer 148,Central,India,P746,Phones Model 44,Electronics,Phones,2,2264.69,0.05,4302.91,3214.89,31.82,1056.2,Medium,Online,0.2455,1088.02
ORD10094,INV20094,2023-07-21,2023,7,Jul,29,Friday,C1047,Customer 167,North,Nepal,P406,Storage Model 2,Furniture,Storage,2,1644.29,0.0,3288.58,2017.33,39.47,1231.78,Low,Online,0.3746,1271.25
ORD10095,INV20095,2023-10-26,2023,10,Oct,43,Thursday,C1174,Customer 90,South,Maldives,P798,Supplement Model 12,Pharmaceuticals,Supplement,3,3956.4,0.0,11869.2,8302.89,17.82,3548.49,Medium,Online,0.299,3566.31
ORD10096,INV20096,2024-05-08,2024,5,May,19,Wednesday,C1260,Customer 236,West,Oman,P572,Chairs Model 41,Furniture,Chairs,4,1454.69,0.1,5236.88,3834.12,68.13,1334.63,Medium,Distributor,0.2549,1402.76
ORD10097,INV20097,2025-08-10,2025,8,Aug,32,Sunday,C1601,Customer 154,East,Myanmar,P552,Chairs Model 23,Furniture,Chairs,4,553.82,0.15,1882.99,1319.99,32.14,530.86,Medium,Online,0.2819,563.0
ORD10098,INV20098,2024-09-10,2024,9,Sep,37,Tuesday,C1585,Customer 184,South,Sri Lanka,P342,OTC Model 25,Pharmaceuticals,OTC,1,1461.22,0.2,1168.98,879.67,90.71,198.6,Low,Retail,0.1699,289.31
ORD10099,INV20099,2023-02-14,2023,2,Feb,7,Tuesday,C1796,Customer 382,West,UAE,P985,Accessories Model 44,Electronics,Accessories,1,2081.46,0.0,2081.46,1758.24,20.08,303.14,High,Retail,0.1456,323.22
ORD10100,INV20100,2024-08-09,2024,8,Aug,32,Friday,C1635,Customer 129,South,Maldives,P751,Paper Model 13,Office Supplies,Paper,5,3359.78,0.05,15958.95,13923.14,60.11,1975.7,Medium,Distributor,0.1238,2035.81
ORD10101,INV20101,2023-03-22,2023,3,Mar,12,Wednesday,C1134,Customer 47,East,Bangladesh,P473,Accessories Model 47,Electronics,Accessories,3,1652.21,0.1,4460.97,3358.77,55.68,1046.52,Low,Online,0.2346,1102.2
ORD10102,INV20102,2024-02-16,2024,2,Feb,7,Friday,C1850,Customer 85,South,Maldives,P613,Binders Model 18,Office Supplies,Binders,1,3072.57,0.1,2765.31,1955.96,62.31,747.04,High,Distributor,0.2701,809.35
ORD10103,INV20103,2024-08-27,2024,8,Aug,35,Tuesday,C1989,Customer 116,East,India,P244,OTC Model 49,Pharmaceuticals,OTC,2,306.53,0.15,521.1,399.09,22.1,99.91,Critical,Retail,0.1917,122.01
ORD10104,INV20104,2025-01-19,2025,1,Jan,3,Sunday,C1465,Customer 189,North,Nepal,P649,Laptops Model 8,Electronics,Laptops,2,4058.88,0.1,7305.98,5084.9,71.34,2149.74,Medium,Retail,0.2942,2221.08
ORD10105,INV20105,2025-01-30,2025,1,Jan,5,Thursday,C1905,Customer 288,North,Bhutan,P125,Tables Model 40,Furniture,Tables,4,4651.17,0.1,16744.21,14868.6,96.85,1778.76,High,Online,0.1062,1875.61
ORD10106,INV20106,2023-05-10,2023,5,May,19,Wednesday,C1143,Customer 24,West,Oman,P518,Binders Model 8,Office Supplies,Binders,3,379.16,0.0,1137.48,878.52,61.7,197.26,Low,Online,0.1734,258.96
ORD10107,INV20107,2023-07-19,2023,7,Jul,29,Wednesday,C1686,Customer 381,South,Maldives,P564,Tables Model 24,Furniture,Tables,3,860.1,0.2,2064.24,1546.32,83.31,434.61,Medium,Retail,0.2105,517.92
ORD10108,INV20108,2023-11-13,2023,11,Nov,46,Monday,C1961,Customer 144,West,Oman,P730,Laptops Model 27,Electronics,Laptops,4,4092.17,0.0,16368.68,11159.19,43.92,5165.57,Medium,Online,0.3156,5209.49
ORD10109,INV20109,2025-06-29,2025,6,Jun,26,Sunday,C1923,Customer 331,South,Sri Lanka,P476,Accessories Model 35,Electronics,Accessories,4,4502.89,0.1,16210.4,11980.7,58.92,4170.78,Low,Online,0.2573,4229.7
ORD10110,INV20110,2023-09-08,2023,9,Sep,36,Friday,C1994,Customer 11,West,India,P754,Storage Model 39,Furniture,Storage,4,1707.78,0.0,6831.12,4042.53,81.46,2707.13,High,Online,0.3963,2788.59
ORD10111,INV20111,2023-09-15,2023,9,Sep,37,Friday,C1221,Customer 120,Central,India,P312,Accessories Model 38,Electronics,Accessories,4,1593.02,0.1,5734.87,3979.66,76.96,1678.25,High,Retail,0.2926,1755.21
ORD10112,INV20112,2023-01-06,2023,1,Jan,1,Friday,C1112,Customer 339,East,India,P356,Storage Model 12,Furniture,Storage,1,2870.95,0.0,2870.95,2235.72,88.91,546.32,Low,Online,0.1903,635.23
ORD10113,INV20113,2024-05-02,2024,5,May,18,Thursday,C1129,Customer 380,Central,India,P371,Phones Model 4,Electronics,Phones,2,4239.94,0.15,7207.9,4988.26,45.76,2173.88,Medium,Retail,0.3016,2219.64
ORD10114,INV20114,2025-09-02,2025,9,Sep,36,Tuesday,C1968,Customer 315,West,UAE,P615,Laptops Model 15,Electronics,Laptops,2,3625.15,0.0,7250.3,5553.81,67.7,1628.79,Medium,Distributor,0.2247,1696.49
ORD10115,INV20115,2024-09-09,2024,9,Sep,37,Monday,C1436,Customer 352,West,Oman,P590,Phones Model 26,Electronics,Phones,3,948.91,0.0,2846.73,2341.54,62.51,442.68,Medium,Distributor,0.1555,505.19
ORD10116,INV20116,2023-05-31,2023,5,May,22,Wednesday,C1639,Customer 325,North,Nepal,P229,Chairs Model 18,Furniture,Chairs,3,2951.84,0.2,7084.42,6214.51,65.03,804.88,Medium,Online,0.1136,869.91
